tweet_id,retweet_count,favorite_count
858843525470990336,3139,14525
858471635011153920,4418,20078
858107933456039936,2625,14653
857989990357356544,2345,14933
857746408056729600,9681,31786
857393404942143489,1488,5476
857263160327368704,4116,18744
857214891891077121,16,208
857062103051644929,154,0
857029823797047296,3629,17566
856543823941562368,2635,15293
856526610513747968,1716,11131
856330835276025856,613,0
856288084350160898,15,494
856282028240666624,5782,26006
855862651834028034,22,313
855860136149123072,883,4571
855857698524602368,1933,11135
855851453814013952,16636,43070
855818117272018944,4984,24988
855459453768019968,7545,27897
855245323840757760,5475,0
855138241867124737,39,0
854732716440526848,5577,21338
854482394044301312,6267,27408
854365224396361728,4314,17721
854120357044912130,6863,30076
854010172552949760,2905,15294
853760880890318849,5318,26887
853639147608842240,9235,32582
853299958564483072,3283,14601
852936405516943360,1849,0
852912242202992640,1668,8496
852672615818899456,2005,14081
852553447878664193,3234,15371
852311364735569921,9211,31276
852226086759018497,6327,18878
852189679701164033,1473,10862
851861385021730816,19,0
851591660324737024,3245,15413
851464819735769094,6548,22977
851224888060895234,5356,19613
850753642995093505,8429,29095
850380195714523136,2425,12440
850333567704068097,307,3284
850145622816686080,3526,15478
850019790995546112,4547,19361
849776966551130114,7080,28822
849668094696017920,4630,0
849412302885593088,2941,15095
849336543269576704,1758,10857
849051919805034497,7909,40249
848690551926992896,4050,23996
848324959059550208,4327,23548
848213670039564288,673,7774
848212111729840128,2823,15522
847978865427394560,3044,0
847971574464610304,413,0
847962785489326080,4757,22400
847842811428974592,1234,5162
847617282490613760,388,6667
847606175596138505,3206,17899
847251039262605312,4063,19553
847157206088847362,5456,18921
847116187444137987,2988,20472
846874817362120707,3680,19174
846514051647705089,10812,42488
846505985330044928,2873,13485
846153765933735936,8489,30065
846139713627017216,9491,29655
846042936437604353,2682,15267
845812042753855489,8165,27917
845677943972139009,4531,24118
845397057150107648,1676,7298
845306882940190720,5052,22297
845098359547420673,7194,0
844979544864018432,2393,13061
844973813909606400,2974,14378
844580511645339650,2919,15754
844223788422217728,2063,13091
843981021012017153,2796,14560
843856843873095681,4338,20577
843604394117681152,2574,16184
843235543001513987,5638,20609
842846295480000512,3436,14669
842765311967449089,1202,6461
842535590457499648,3306,17400
842163532590374912,5475,23441
842115215311396866,2859,13423
841833993020538882,14136,0
841680585030541313,7409,24762
841439858740625411,3449,12104
841320156043304961,5211,19028
841314665196081154,4385,15216
841077006473256960,5034,21981
